,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
max,0.366006,0.489084,0.655197,313.22553199999993,49.462842,344.38843799999995,0.392906,0.373707,0.502381,351.929934,31.13552,328.956668,0.45530200000000004,0.38911100000000004,0.26699199999999995,317.958148,15.317609999999995,353.5547,0.411659,0.623576,0.463774,341.50194300000004,44.429143,290.463933,0.484547,0.470447,0.501422,315.873458,64.785026,323.318298,0.545716,0.564615,0.531037,318.023237,48.715159,321.766936
min,-0.196202,-0.38303800000000005,-0.572583,-328.973442,-87.395184,-356.984819,-0.11701900000000001,-0.267804,-0.42566099999999996,-323.786455,-46.299248,-346.13374200000004,-0.07957000000000009,-0.12336299999999994,-0.275341,-318.05589599999996,-52.058269,-318.235827,-0.132747,-0.494373,-0.479645,-323.07351900000003,-85.209165,-306.186376,-0.11569499999999994,-0.417655,-0.48299200000000003,-316.257188,-66.511444,-336.37844500000006,-0.078347,-0.556841,-0.390507,-336.769004,-43.996177,-318.61718
mean,9.494051652975438e-06,7.1925892146492935e-06,-1.0849578073770054e-05,-0.005044634476978263,-0.000844900306337233,0.008501945526441904,1.002695387629549e-05,7.859336107469268e-06,-1.1463675497877174e-05,-0.0012128430480871355,-0.0013884658078245826,-0.0006442078511847121,1.2447607043856259e-05,8.602912209364925e-06,-1.2665366158497321e-05,-0.0020764809811236315,0.0009636306789032664,-0.0011892225220146912,1.145242905791273e-05,1.6081965794101743e-07,-1.0752884446893458e-05,0.002373033878660059,-0.0025270157201036174,0.0005835433844036138,1.2715110595974759e-05,-1.5769252693381995e-06,-1.2334232710736163e-05,0.003679776502604179,-0.0022679902926354507,-0.0009168310775005756,1.3903454158142641e-05,-3.1426653239342046e-06,-1.4500756870419982e-05,0.0035999366213388903,0.0003464519287000619,-0.0005063834810127934
std,0.003815449360842081,0.005410862053091402,0.005252800107906212,12.303980521323968,1.7385897568755286,25.351302291448924,0.0030472203589183735,0.0036003840274927133,0.0036109090925582473,19.50345707947822,1.1642308039671745,25.380824214550273,0.0030760741596373136,0.002684373828874733,0.002343172624376214,8.968104262294455,0.5906706144355254,15.310174758633394,0.003081952263976968,0.006024966394034193,0.004209705680512122,20.06131963599724,1.6244510790167586,12.307734152130699,0.0030034975745408705,0.005028271953558873,0.0035669920211775633,19.138412219180662,1.558798245782489,9.39078246233858,0.003057486516659537,0.004028701746031054,0.003021764735560556,15.41166752558189,0.5283278373120083,28.007950648844652
